도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
부영작은도서관,경기도,안성시,작은도서관,1)매주일요일 2)국가지정공휴일,10:00,19:00,10:00,19:00,00:00,24:00,9,14499,13,144,10,14,"경기도 안성시 공도읍 만수로 31, 관리동 2층(부영아파트)",경기도 안성시,031-618-0089,,88,http://www.anseong.go.kr/library,37.0088960455,127.1837275642,2020-03-04,4080000,경기도 안성시
태산작은도서관,경기도,안성시,작은도서관,1)매주일요일 2)국가지정공휴일,10:00,19:00,10:00,19:00,00:00,24:00,13,14899,13,557,10,14,"경기도 안성시 공도읍 벚꽃길 36, 관리동 3층(태산아파트)",경기도 안성시,031-618-0084,,77,http://www.anseong.go.kr/library,36.9998372873,127.1541052527,2020-03-04,4080000,경기도 안성시
조이도서관,인천광역시,부평구,작은도서관,법정공휴일,09:00,22:00,09:00,22:00,00:00,00:00,20,1308,3,0,0,0,인천광역시 부평구 세월천로 34(청천동),,,,33,,37.5132624480,126.705691,2020-03-20,3540000,인천광역시 부평구
하우스디 작은도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",13:00,18:00,00:00,00:00,00:00,00:00,18,1700,0,0,0,0,인천광역시 부평구 안남로 315(청천동),부평구 하우스디아파트,032-620-6136,,79.2,,37.5116377895,126.7088262570,2020-03-20,3540000,인천광역시 부평구
함께하는 사랑밭 그림책도서관 1호점,인천광역시,부평구,작은도서관,"매주 월, 일요일 및 법정공휴일",10:00,19:00,10:00,17:30,00:00,00:00,10,3639,1,112,0,0,인천광역시 부평구 동수로 17(부평동),(사법)함께하는 사랑밭,032-518-6575,,195,http://withgo2.egentouch.com,37.4850796106,126.720672,2020-03-20,3540000,인천광역시 부평구
노동자의 작은도서관 사람,인천광역시,부평구,작은도서관,매주 일요일 및 법정공휴일,10:00,22:00,10:00,18:00,00:00,00:00,17,8425,6,0,5,14,인천광역시 부평구 경인로 671(십정동),천주교인천교구노동사목,070-4324-0545,,133.13,www.facebook.com/SaramLibrary/,37.469743,126.707685,2020-03-20,3540000,인천광역시 부평구
거창군립한마음도서관,경상남도,거창군,공공도서관,"매주금요일, 국가지정공휴일",09:00,22:00,09:00,17:00,09:00,18:00,404,110628,55,15987,5,21,경상남도 거창군 거창읍 거열로6길 11,경상남도 거창군청,055-940-8470,1538,2406,http://library.geochang.go.kr,35.6891943131,127.9036764067,2020-02-21,5470000,경상남도 거창군
홍도도서관,대전광역시,동구,공공도서관,"일요일, 관공서의 공휴일",09:00,18:00,09:00,13:00,00:00,00:00,80,48360,13,548,5,14,대전광역시 동구 동산초교로 34번길 56 (홍도동),대전광역시 동구청,042-259-7571,2209,932,https://www.donggu.go.kr/dg/kor/contents/620,36.3490805326,127.4258279099,2020-03-19,3640000,대전광역시 동구
자양도서관,대전광역시,동구,공공도서관,"토·일요일, 관공서의 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,104,49085,12,407,5,14,대전광역시 동구 백룡로 16 (자양동),대전광역시 동구청,042-259-7422,1041,1010,https://www.donggu.go.kr/dg/kor/contents/621,36.3354650359,127.4486405771,2020-03-19,3640000,대전광역시 동구
성남도서관,대전광역시,동구,공공도서관,"월요일, 관공서의 공휴일",09:00,18:00,09:00,18:00,00:00,00:00,120,41709,14,0,5,14,대전광역시 동구 성남로 38-5 (성남동),대전광역시 동구청,042-259-7091,311,540,https://www.donggu.go.kr/dg/lib/contents/636,36.3423217291,127.4298546861,2020-03-19,3640000,대전광역시 동구
무지개도서관,대전광역시,동구,공공도서관,"토·일요일, 관공서의 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,71,33414,12,0,5,14,대전광역시 동구 동부로 56-22 (판암2동),대전광역시 동구청,042-259-7041,107,511,https://www.donggu.go.kr/dg/lib/contents/632,36.3202370381,127.4595334132,2020-03-19,3640000,대전광역시 동구
판암도서관,대전광역시,동구,공공도서관,"월요일, 관공서의 공휴일",09:00,18:00,09:00,18:00,00:00,00:00,80,36017,10,1155,5,14,대전광역시 동구 옥천로 180번길 20 (판암1동),대전광역시 동구청,042-259-7071,355,468,https://www.donggu.go.kr/dg/lib/contents/644,36.3164184909,127.4607715360,2020-03-19,3640000,대전광역시 동구
가양도서관,대전광역시,동구,공공도서관,"월요일, 관공서의 공휴일",09:00,22:00,09:00,18:00,00:00,00:00,263,115144,28,3738,5,14,대전광역시 동구 우암로 277번길 72 (가양2동),대전광역시 동구청,042-259-7081,5358,2923,https://www.donggu.go.kr/dg/lib/contents/624,36.3490909151,127.4447483929,2020-03-19,3640000,대전광역시 동구
신탄진도서관,대전광역시,대덕구,공공도서관,"매주금요일, 국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,1200,155823,183,6954,10,14,대전광역시 대덕구 신탄진동로 64,대전광역시 대덕구청,042-608-5511,8809,4891,http://lib.daedeok.go.kr,36.446510,127.437362,2019-09-30,3680000,대전광역시 대덕구
세미원작은도서관,경기도,양평군,작은도서관,매주 월요일,09:00,18:00,09:00,18:00,09:00,18:00,55,1014,0,0,7,14,경기도 양평군 양서면 양수로 93,경기도 양평군청,031-775-1835,110,110,http://www.yplib.go.kr,37.5409393776,127.3239611372,2020-03-06,4170000,경기도 양평군
단월작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,48,1796,0,0,7,14,경기도 양평군 단월면 보룡길 82,경기도 양평군청,031-771-0634,165,165,http://www.yplib.go.kr,37.540818,127.6735088281,2020-03-06,4170000,경기도 양평군
개군작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,41,5408,0,0,7,14,경기도 양평군 개군면 추읍로 37,경기도 양평군청,031-771-5624,179,168,http://www.yplib.go.kr,37.4282168293,127.5422415370,2020-03-06,4170000,경기도 양평군
청운작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,20,6343,0,0,7,14,경기도 양평군 청운면 용두민속장터길 2,경기도 양평군청,031-775-0552,2045,254,http://www.yplib.go.kr,37.553631,127.708314,2020-03-06,4170000,경기도 양평군
서종작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,54,18372,0,0,7,14,경기도 양평군 서종면 북한강로 777,경기도 양평군청,031-775-8258,1852,203,http://www.yplib.go.kr,37.6065835263,127.3487122175,2020-03-06,4170000,경기도 양평군
호평도서관,경기도,남양주시,공공도서관,"매월 둘째·넷째 월요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,90,43653,122,450,20,14,경기도 남양주시 천마산로 67,경기도 남양주시청,031-590-8340,788,1956,https://lib.nyj.go.kr/hp,37.6676436650,127.2480044601,2020-01-20,3990000,경기도 남양주시
평내도서관,경기도,남양주시,공공도서관,"매월 첫째·셋째 월요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,182,112848,110,2236,20,14,경기도 남양주시 의안로 134,경기도 남양주시청,031-590-8560,3172,6307,http://lib.nyj.go.kr/pynae,37.6417431,127.2388903,2020-01-20,3990000,경기도 남양주시
진건도서관,경기도,남양주시,공공도서관,"매월 둘째·넷째 금요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,132,119058,119,3596,20,14,경기도 남양주시 진건읍 진건오남로 41-25,경기도 남양주시청,031-590-8260,1322,2848,http://lib.nyj.go.kr/jingeon,37.6551356,127.1774389,2020-01-20,3990000,경기도 남양주시
화도도서관,경기도,남양주시,공공도서관,"매월 첫째·셋째 금요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,190,142626,122,3270,20,14,경기도 남양주시 화도읍 수레로1260번길 33,경기도 남양주시청,031-590-4587,596,2667,http://lib.nyj.go.kr/hwado,37.6501371,127.3058147,2020-01-20,3990000,경기도 남양주시
와부도서관,경기도,남양주시,공공도서관,"매월 둘째·넷째 금요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,228,119177,119,5673,20,14,경기도 남양주시 와부읍 월문천로 43,경기도 남양주시청,031-590-8915,3920,4010,http://lib.nyj.go.kr/waboo,37.5856854,127.2174983,2020-01-20,3990000,경기도 남양주시
도농도서관,경기도,남양주시,공공도서관,"매월 첫째·셋째 금요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,278,162492,123,12920,20,14,경기도 남양주시 경춘로 409,경기도 남양주시청,031-590-2586,2186,2374,http://lib.nyj.go.kr/donong,37.6074597,127.1592868,2020-01-20,3990000,경기도 남양주시
월야 작은도서관,전라남도,함평군,작은도서관,매주 월요일,10:00,18:00,10:00,18:00,10:00,18:00,18,4481,0,0,3,14,전라남도 함평군 월야면 밀재로 1543,전라남도 함평군청,061-320-3807,984,111.5,,35.1791235464,126.6310114332,2020-03-06,4960000,전라남도 함평군
용강도서관,전라남도,광양시,공공도서관,"매월 첫번째, 세번째 금요일, 법적공휴일",09:00,22:00,09:00,17:00,00:00,00:00,140,30808,35,446,10,14,전라남도 광양시 광양읍 기두5길 5,전라남도 광양시청,061-797-3867,2060,1309,http://lib.gwangyang.go.kr,34.974088,127.607322,2020-02-05,4840000,전라남도 광양시
희망도서관,전라남도,광양시,어린이도서관,"매월 첫번째, 세번째 금요일, 법적공휴일",10:00,19:00,09:00,17:00,00:00,00:00,143,40701,18,330,10,14,전라남도 광양시 광양읍 인덕로 1022,전라남도 광양시청,061-797-4700,7287,2132,http://lib.gwangyang.go.kr,34.9734818470,127.5826092279,2020-02-05,4840000,전라남도 광양시
중마도서관,전라남도,광양시,공공도서관,"매월 두번째 금요일, 법적공휴일",08:00,22:00,08:00,22:00,00:00,00:00,219,102467,36,6525,10,14,전라남도 광양시 광장로 14(중동),전라남도 광양시청,061-797-2430,8692,1659.7,http://lib.gwangyang.go.kr,34.937646,127.6903031249,2020-02-05,4840000,전라남도 광양시
중앙도서관,전라남도,광양시,공공도서관,"매월 두번째 금요일, 법적공휴일",08:00,22:00,09:00,22:00,00:00,00:00,242,202192,45,13916,10,14,전라남도 광양시 광양읍 향교길 9-30,전라남도 광양시청,061-797-2530,10788,3734,http://lib.gwangyang.go.kr,34.979945,127.587502,2020-02-05,4840000,전라남도 광양시
학교면 작은도서관,전라남도,함평군,작은도서관,"매주 금요일, 국가지정공휴일",09:00,17:00,00:00,00:00,00:00,00:00,13,1707,0,0,3,14,전라남도 함평군 학교면 학다리길 406,전라남도 함평군청,,992,189.6,,35.0199324358,126.535517,2020-03-06,4960000,전라남도 함평군
대동 사랑방문고,전라남도,함평군,작은도서관,"매주 월요일, 국가지정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,30,6536,0,0,3,14,전라남도 함평군 대동면 대동길 5-10,전라남도 함평군청,,2000,81.34,,35.0685763536,126.5315192793,2020-03-06,4960000,전라남도 함평군
신광 마을도서관,전라남도,함평군,작은도서관,"매주 목,일요일, 국가지정공휴일",09:00,17:00,09:00,17:00,00:00,00:00,12,509,0,0,0,0,전라남도 함평군 신광면 신광중앙길 84,전라남도 함평군청,,1889,46,,35.1545176817,126.4970402060,2020-03-06,4960000,전라남도 함평군
손불 작은도서관,전라남도,함평군,작은도서관,"매주 월,일요일, 국가지정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,14,1427,0,0,3,14,전라남도 함평군 손불면 손불중앙길 76-11,전라남도 함평군청,,710,198.34,,35.1429251045,126.431564,2020-03-06,4960000,전라남도 함평군
함평군립도서관,전라남도,함평군,공공도서관,"매주 금요일, 국가지정공휴일",08:00,22:00,08:00,22:00,08:00,22:00,68,30603,0,339,3,14,전라남도 함평군 함평읍 곤재로 36-33,전라남도 함평군청,061-320-2263,4481,1198,www.butterflyhp.or.kr,35.0575586013,126.5178491837,2020-03-06,4960000,전라남도 함평군
작전도서관,인천광역시,계양구,공공도서관,매주금요일,06:00,22:00,06:00,22:00,06:00,22:00,297,39129,0,0,5,14,인천광역시 계양구 오조산로21번길 4,계양문화원,032-555-9734,17043,1683,http://www.gygl.go.kr,37.5330069,126.7376606,2019-10-31,3550000,인천광역시 계양구
무지개도서관,경기도,성남시,공공도서관,"1,3번째 월요일 신정, 설날, 추석 연휴",07:00,22:00,07:00,22:00,07:00,22:00,222,39335,35,0,6,14,경기도 성남시 분당구 구미로 111(구미동),경기도 성남시,031-729-4770,750,775.11,https://www.snlib.go.kr/mjg,37.3396207746,127.1208292,2020-01-01,3780000,경기도 성남시
구미도서관,경기도,성남시,공공도서관,"1,3번째 금요일, 신정, 설날, 추석 연휴",07:00,00:00,07:00,00:00,07:00,00:00,843,221425,128,6860,6,14,경기도 성남시 분당구 미금일로 105(구미동),경기도 성남시,031-729-4700,5282,6824,https://www.snlib.go.kr/gm,37.3455298179,127.1076886556,2020-01-01,3780000,경기도 성남시
광천공공도서관,충청남도,홍성군,공공도서관,"매주 월요일, 공휴일",09:00,21:00,09:00,21:00,09:00,21:00,179,91454,16,0,6,14,충청남도 홍성군 광천읍 광천로 342,홍성군,041-630-9573,,,www.hongseong.go.kr/kor/sub06_13_01_01.do,36.5048524,126.6305378,2019-09-19,4600000,충청남도 홍성군
햇빛21작은도서관,경기도,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일+매월 첫째주 월요일,10:00,18:00,10:00,18:00,00:00,00:00,0,10235,0,104,3,14,경기도 고양시 덕양구 화신로 168,경기도 고양시 햇빛마을21단지 입주자대표회의,031-938-9400,96.5,96.5,http://www.goyanglib.or.kr,37.627322,126.841414,2019-11-05,3940000,경기도 고양시
사랑채작은도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",16:00,20:00,00:00,00:00,00:00,00:00,20,2000,4,0,0,0,인천광역시 부평구 부흥북로36번길 8(부평동),온천하선교교회,032-221-8291,,52,,37.5010106043,126.7258266238,2020-03-20,3540000,인천광역시 부평구
선일비전영어작은도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",13:00,18:00,00:00,00:00,00:00,00:00,16,2600,1,0,0,0,인천광역시 부평구 세월천로25번길 44(청천동),선일교회,032-513-6546,,44.55,,37.510818,126.706111,2020-03-20,3540000,인천광역시 부평구
하하작은도서관,인천광역시,부평구,작은도서관,"매주 월, 일요일 및 법정공휴일",10:00,18:00,10:00,17:00,00:00,00:00,30,2600,5,40,5,14,인천광역시 부평구 동수북로50번길 13-1(부평동),부평시민교회,032-528-6581,,34.5,,37.486154,126.7129067,2020-03-20,3540000,인천광역시 부평구
두드림작은도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",14:00,18:00,00:00,00:00,00:00,00:00,24,2500,3,0,5,14,인천광역시 부평구 부흥북로 144(부개동),한국중앙교회,070-4045-8291,,147,,37.500378,126.738366,2020-03-20,3540000,인천광역시 부평구
동암비전도서관,인천광역시,부평구,작은도서관,법정공휴일,10:00,18:00,10:00,17:00,00:00,00:00,60,1500,0,0,5,14,인천광역시 부평구 경인로701번길 70(십정동),동암장로교회,032-433-5331,,90,www.dongamchurch.kr,37.4727114848,126.7047448075,2020-03-20,3540000,인천광역시 부평구
한라도서관,제주특별자치도,제주시,공공도서관,매주수요일+1월1일+설연휴+추석연휴+12월31일,08:00,22:00,09:00,20:00,09:00,20:00,332,277907,332,16313,5,15,제주특별자치도 제주시 오남로 221 (오라2동 899-3),제주특별자치도,064-710-8666,22820,4571,http://lib.jeju.go.kr/,33.4763664,126.5160460,2019-04-30,6500000,제주특별자치도
동수작은도서관,인천광역시,부평구,작은도서관,매주 일요일 및 법정공휴일,10:00,19:00,10:00,17:00,00:00,00:00,33,9151,0,92,5,14,인천광역시 부평구 동수북로166번길 20(부평동),인천광역시 부평구 부평6동행정복지센터,032-509-8884,,109.62,http://www.bppl.or.kr,37.4880013,126.7244900028,2020-03-20,3540000,인천광역시 부평구
글마루도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,60,11185,5,23,5,15,인천광역시 부평구 부평문화로37번길 1(부평동),인천광역시 부평구 부평1동행정복지센터,032-509-8883,,198,http://www.bppl.or.kr,37.494259,126.7200662691,2020-03-20,3540000,인천광역시 부평구
갈산밀알도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",09:30,18:30,00:00,00:00,00:00,00:00,30,9685,0,0,5,14,인천광역시 부평구 주부토로 173(갈산동),인천광역시 부평구 갈산2동행정복지센터,032-509-8627,,75.03,http://www.bppl.or.kr,37.5107411705,126.7257141238,2020-03-20,3540000,인천광역시 부평구
산곡글향기도서관,인천광역시,부평구,작은도서관,매주 일요일 및 법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,30,9416,0,0,5,14,인천광역시 부평구 마장로319번길 52(산곡동),인천광역시 부평구 산곡1동행정복지센터,032-509-8636,,143.95,http://www.bppl.or.kr,37.506952,126.700216,2020-03-20,3540000,인천광역시 부평구
희망천작은도서관,인천광역시,부평구,작은도서관,매주 일요일 및 법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,26,12380,0,0,5,14,인천광역시 부평구 경인로834번길 8(부평동),인천광역시 부평구 부평2동행정복지센터,032-509-8623,,133.92,http://www.bppl.or.kr,37.482228,126.7145029150,2020-03-20,3540000,인천광역시 부평구
샘터도서관,인천광역시,부평구,작은도서관,"매주 토, 일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,9,8449,0,0,5,14,인천광역시 부평구 동암산로33번길 6-7(십정동),인천광역시 부평구 십정2동행정복지센터,032-509-8620,,164.46,http://www.bppl.or.kr,37.473805,126.707884,2020-03-20,3540000,인천광역시 부평구
꿈나무작은도서관,인천광역시,부평구,작은도서관,매주 일요일 법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,42,10549,0,0,5,14,인천광역시 부평구 부흥로173번길 68(산곡동),인천광역시 부평구 산곡4동행정복지센터,032-509-7894,,164.52,http://www.bppl.or.kr,37.5017404625,126.711437,2020-03-20,3540000,인천광역시 부평구
부개어린이도서관,인천광역시,부평구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,70,21946,26,0,5,14,인천광역시 부평구 동수로 166(부개동),(재)인천광역시부평구문화재단,032-505-1131,319.4,365.36,https://www.bppl.or.kr,37.4855207887,126.737024,2020-03-20,3540000,인천광역시 부평구
갈산도서관,인천광역시,부평구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,92,26957,36,0,5,14,인천광역시 부평구 주부토로 254(갈산동),(재)인천광역시부평구문화재단,032-362-0261,1530,475.2,https://www.bppl.or.kr,37.517563,126.7271369197,2020-03-20,3540000,인천광역시 부평구
청천도서관,인천광역시,부평구,공공도서관,매주 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,146,50130,55,1183,5,14,인천광역시 부평구 원길로 23(청천동),(재)인천광역시부평구문화재단,032-330-9171,760,1083.02,https://www.bppl.or.kr,37.5058740960,126.714391,2020-03-20,3540000,인천광역시 부평구
부평기적의도서관,인천광역시,부평구,공공도서관,매주 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,300,54073,43,757,5,14,인천광역시 부평구 길주남로 166(부개동),(재)인천광역시부평구문화재단,032-505-0612,1300.1,926.21,https://www.bppl.or.kr,37.5034469539,126.7401942876,2020-03-20,3540000,인천광역시 부평구
증평군립도서관,충청북도,증평군,공공도서관,매주 월요일,09:00,22:00,09:00,18:00,09:00,18:00,601,56931,38,3942,2,14,충청북도 증평군 증평읍 광장로 37,충청북도 증평군청,043-835-4671,3020,2917,http://lib.jp.go.kr,36.789594,127.579624,2018-08-23,5570000,충청북도 증평군
희망 Library Center,경기도,의정부시,작은도서관,"매주 토,일요일 및 법정공휴일",08:00,21:00,00:00,00:00,00:00,00:00,16,7347,0,0,10,21,경기도 의정부시 평화로 525 (의정부동),경기도 의정부시 도서관운영과,031-836-9721,0,44,http://www.uilib.go.kr,37.73799132,127.0458795,2020-04-01,3820000,경기도 의정부시
선비마을작은도서관,경상남도,산청군,작은도서관,국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,12,6876,0,0,7,7,경상남도 산청군 시천면 남명로234번길 31,경상남도 산청군청,055-974-0190,,69,,35.2761331412,127.8447867436,2020-02-12,5450000,경상남도 산청군
행복미소작은도서관,경상남도,산청군,작은도서관,국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,10075,1,0,5,7,경상남도 산청군 신안면 원지로4번길 36,경상남도 산청군청,055-970-7449,,105,,35.3013858184,127.974492,2020-02-12,5450000,경상남도 산청군
외포바다마을 작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,34,985,0,0,3,14,경상남도 거제시 장목면 외포 4길 12,경상남도 거제시청,055-636-5063,165,165,,34.94326154,128.7152614,2020-01-31,5370000,경상남도 거제시
꿈꾸는놀이터 작은도서관,경상남도,거제시,작은도서관,"매주월,일요일, 공휴일",09:00,17:00,09:00,17:00,00:00,00:00,30,1500,0,0,10,14,경상남도 거제시 제산로 17,경상남도 거제시 제산로 17,055-638-1000,144,144,,34.89053098,128.6376368,2020-01-30,5370000,경상남도 거제시
엘마르작은도서관,경상남도,거제시,작은도서관,없음,08:00,23:00,08:00,23:00,08:00,23:00,24,1400,0,0,10,14,경상남도 거제시 일운면 지세포해안로 258,경상남도 거제시 일운면 지세포해안로 258,055-681-0117,100,100,,34.83607217,128.7173632,2020-01-30,5370000,경상남도 거제시
고읍내작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,66,7517,0,0,7,14,경기도 양평군 옥천면 옥천길 21,경기도 양평군청,031-771-5703,361,361,http://www.yplib.go.kr,37.5181061948,127.4560503022,2020-03-06,4170000,경기도 양평군
서귀포학생문화원도서관,제주특별자치도,서귀포시,공공도서관,매월첫째·셋째·다섯째월요일+1월1일+설날+추석+12월31일,09:00,22:00,09:00,18:00,09:00,18:00,432,208162,74,3559,5,15,제주특별자치도 서귀포시 중앙로150번길 4-1,제주도교육청,064-762-4307,30093,2613,http://www.sscclib.jeju.kr/,33.2586063,126.5620424,2019-04-30,6500000,제주특별자치도
